cell,cell_ontology_class,tissue
O17.MAA000564.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
P10.MAA000553.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
L21.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
O21.MAA000424.3_11_M.1.1,neuron,Brain_Non-Myeloid
E3.MAA001845.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
F7.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
P19.MAA000935.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
C6.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
G20.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
E21.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
C21.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
D6.MAA000615.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
G3.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
D9.MAA000553.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
E19.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
A8.MAA001845.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
D4.MAA001845.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
E20.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
F4.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
A12.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
C9.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
B20.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
G3.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
H18.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
F10.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
A18.MAA000941.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
I14.MAA000944.3_9_M.1.1,neuron,Brain_Non-Myeloid
K3.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
C3.MAA001845.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
E1.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
I17.MAA000581.3_10_M.1.1,neuron,Brain_Non-Myeloid
J22.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
F17.MAA000942.3_8_M.1.1,neuron,Brain_Non-Myeloid
C14.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
A1.B003728.3_56_F.1.1,astrocyte,Brain_Non-Myeloid
G18.MAA001853.3_38_F.1.1,neuron,Brain_Non-Myeloid
H3.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
J18.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
I20.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
G4.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
K22.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
A22.MAA000561.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
B12.MAA000564.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
A16.MAA000942.3_8_M.1.1,neuron,Brain_Non-Myeloid
A9.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
O16.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
G4.MAA000930.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
